Sequence,Potential_V,Current_A
573,0.373,0.0001035
574,0.374,0.0001037
575,0.375,0.0001039
576,0.376,0.0001041
577,0.377,0.0001043
578,0.378,0.0001044
579,0.379,0.0001046
580,0.38,0.0001048
581,0.381,0.0001049
582,0.382,0.000105
583,0.383,0.0001052
584,0.384,0.0001053
585,0.385,0.0001054
586,0.386,0.0001055
587,0.387,0.0001056
588,0.388,0.0001057
589,0.389,0.0001058
590,0.39,0.0001059
591,0.391,0.000106
592,0.392,0.0001061
593,0.393,0.0001062
594,0.394,0.0001063
595,0.395,0.0001064
596,0.396,0.0001064
597,0.397,0.0001065
598,0.398,0.0001066
599,0.399,0.0001066
600,0.4,0.0001067
601,0.401,0.0001067
602,0.402,0.0001067
603,0.403,0.0001067
604,0.404,0.0001068
605,0.405,0.0001068
606,0.406,0.0001068
607,0.407,0.0001068
608,0.408,0.0001068
609,0.409,0.0001068
610,0.41,0.0001068
611,0.411,0.0001068
612,0.412,0.0001068
613,0.413,0.0001068
614,0.414,0.0001067
615,0.415,0.0001067
616,0.416,0.0001067
617,0.417,0.0001067
618,0.418,0.0001066
619,0.419,0.0001066
620,0.42,0.0001065
621,0.421,0.0001065
622,0.422,0.0001065
623,0.423,0.0001064
624,0.424,0.0001063
625,0.425,0.0001063
626,0.426,0.0001062
627,0.427,0.0001061
628,0.428,0.000106
629,0.429,0.000106
630,0.43,0.0001059
631,0.431,0.0001058
632,0.432,0.0001057
633,0.433,0.0001057
634,0.434,0.0001056
635,0.435,0.0001055
636,0.436,0.0001054
637,0.437,0.0001053
638,0.438,0.0001052
639,0.439,0.0001051
640,0.44,0.000105
641,0.441,0.0001049
642,0.442,0.0001048
643,0.443,0.0001046
644,0.444,0.0001045
645,0.445,0.0001044
646,0.446,0.0001043
647,0.447,0.0001041
648,0.448,0.000104
649,0.449,0.0001038
650,0.45,0.0001037
651,0.451,0.0001035
652,0.452,0.0001034
653,0.453,0.0001033
654,0.454,0.0001031
655,0.455,0.000103
656,0.456,0.0001028
657,0.457,0.0001027
658,0.458,0.0001025
659,0.459,0.0001023
660,0.46,0.0001022
661,0.461,0.000102
662,0.462,0.0001018
663,0.463,0.0001016
664,0.464,0.0001014
665,0.465,0.0001012
666,0.466,0.0001011
667,0.467,0.0001009
668,0.468,0.0001007
669,0.469,0.0001005
670,0.47,0.0001003
671,0.471,0.0001001
672,0.472,9.995e-05
673,0.473,9.975e-05
674,0.474,9.955e-05
675,0.475,9.934e-05
676,0.476,9.913e-05
677,0.477,9.892e-05
678,0.478,9.871e-05
679,0.479,9.851e-05
680,0.48,9.831e-05
681,0.481,9.809e-05
682,0.482,9.787e-05
683,0.483,9.765e-05
684,0.484,9.742e-05
685,0.485,9.72e-05
686,0.486,9.696e-05
687,0.487,9.671e-05
688,0.488,9.646e-05
689,0.489,9.622e-05
690,0.49,9.598e-05
691,0.491,9.576e-05
692,0.492,9.552e-05
693,0.493,9.528e-05
694,0.494,9.504e-05
695,0.495,9.48e-05
696,0.496,9.456e-05
697,0.497,9.431e-05
698,0.498,9.405e-05
699,0.499,9.379e-05
700,0.5,9.354e-05
701,0.501,9.329e-05
702,0.502,9.304e-05
703,0.503,9.279e-05
704,0.504,9.254e-05
705,0.505,9.229e-05
706,0.506,9.203e-05
707,0.507,9.176e-05
708,0.508,9.149e-05
709,0.509,9.123e-05
710,0.51,9.098e-05
711,0.511,9.074e-05
712,0.512,9.048e-05
713,0.513,9.022e-05
714,0.514,8.996e-05
715,0.515,8.97e-05
716,0.516,8.944e-05
717,0.517,8.918e-05
718,0.518,8.892e-05
719,0.519,8.867e-05
720,0.52,8.842e-05
721,0.521,8.817e-05
722,0.522,8.792e-05
723,0.523,8.766e-05
724,0.524,8.74e-05
725,0.525,8.713e-05
726,0.526,8.686e-05
727,0.527,8.66e-05
728,0.528,8.635e-05
729,0.529,8.61e-05
730,0.53,8.587e-05
731,0.531,8.563e-05
732,0.532,8.539e-05
733,0.533,8.517e-05
734,0.534,8.495e-05
735,0.535,8.474e-05
736,0.536,8.452e-05
737,0.537,8.43e-05
738,0.538,8.407e-05
739,0.539,8.384e-05
740,0.54,8.361e-05
741,0.541,8.338e-05
742,0.542,8.314e-05
743,0.543,8.291e-05
744,0.544,8.268e-05
745,0.545,8.245e-05
746,0.546,8.221e-05
747,0.547,8.197e-05
748,0.548,8.173e-05
749,0.549,8.149e-05
750,0.55,8.125e-05
751,0.551,8.1e-05
752,0.552,8.074e-05
753,0.553,8.049e-05
754,0.554,8.026e-05
755,0.555,8.006e-05
756,0.556,7.986e-05
757,0.557,7.966e-05
758,0.558,7.947e-05
759,0.559,7.927e-05
760,0.56,7.908e-05
761,0.561,7.889e-05
762,0.562,7.869e-05
763,0.563,7.848e-05
764,0.564,7.826e-05
765,0.565,7.803e-05
766,0.566,7.782e-05
767,0.567,7.761e-05
768,0.568,7.74e-05
769,0.569,7.719e-05
770,0.57,7.698e-05
771,0.571,7.678e-05
772,0.572,7.66e-05
773,0.573,7.642e-05
774,0.574,7.625e-05
775,0.575,7.607e-05
776,0.576,7.589e-05
777,0.577,7.571e-05
778,0.578,7.552e-05
779,0.579,7.534e-05
780,0.58,7.515e-05
781,0.581,7.495e-05
782,0.582,7.475e-05
783,0.583,7.455e-05
784,0.584,7.435e-05
785,0.585,7.417e-05
786,0.586,7.399e-05
787,0.587,7.382e-05
788,0.588,7.364e-05
789,0.589,7.345e-05
790,0.59,7.325e-05
791,0.591,7.304e-05
792,0.592,7.283e-05
793,0.593,7.263e-05
794,0.594,7.243e-05
795,0.595,7.224e-05
796,0.596,7.205e-05
797,0.597,7.187e-05
798,0.598,7.171e-05
799,0.599,7.156e-05
800,0.6,7.142e-05
801,0.601,7.127e-05
802,0.602,7.111e-05
803,0.603,7.094e-05
804,0.604,7.078e-05
805,0.605,7.062e-05
806,0.606,7.046e-05
807,0.607,7.031e-05
808,0.608,7.016e-05
809,0.609,6.999e-05
810,0.61,6.982e-05
811,0.611,6.965e-05
812,0.612,6.95e-05
813,0.613,6.935e-05
814,0.614,6.922e-05
815,0.615,6.909e-05
816,0.616,6.895e-05
817,0.617,6.881e-05
818,0.618,6.866e-05
819,0.619,6.85e-05
820,0.62,6.835e-05
821,0.621,6.82e-05
822,0.622,6.806e-05
823,0.623,6.792e-05
824,0.624,6.779e-05
825,0.625,6.765e-05
826,0.626,6.75e-05
827,0.627,6.735e-05
828,0.628,6.72e-05
829,0.629,6.705e-05
830,0.63,6.692e-05
831,0.631,6.68e-05
832,0.632,6.669e-05
833,0.633,6.657e-05
834,0.634,6.644e-05
835,0.635,6.63e-05
836,0.636,6.617e-05
837,0.637,6.603e-05
838,0.638,6.59e-05
839,0.639,6.577e-05
840,0.64,6.564e-05
841,0.641,6.552e-05
842,0.642,6.54e-05
843,0.643,6.528e-05
844,0.644,6.515e-05
845,0.645,6.5e-05
846,0.646,6.486e-05
847,0.647,6.472e-05
848,0.648,6.459e-05
849,0.649,6.447e-05
850,0.65,6.437e-05
851,0.651,6.427e-05
852,0.652,6.417e-05
853,0.653,6.406e-05
854,0.654,6.395e-05
855,0.655,6.383e-05
856,0.656,6.371e-05
857,0.657,6.358e-05
858,0.658,6.346e-05
859,0.659,6.334e-05
860,0.66,6.323e-05
861,0.661,6.313e-05
862,0.662,6.302e-05
863,0.663,6.29e-05
864,0.664,6.279e-05
865,0.665,6.267e-05
866,0.666,6.255e-05
867,0.667,6.243e-05
868,0.668,6.231e-05
869,0.669,6.219e-05
870,0.67,6.209e-05
871,0.671,6.199e-05
872,0.672,6.19e-05
873,0.673,6.181e-05
874,0.674,6.172e-05
875,0.675,6.164e-05
876,0.676,6.154e-05
877,0.677,6.145e-05
878,0.678,6.135e-05
879,0.679,6.125e-05
880,0.68,6.114e-05
881,0.681,6.104e-05
882,0.682,6.093e-05
883,0.683,6.082e-05
884,0.684,6.072e-05
885,0.685,6.062e-05
886,0.686,6.053e-05
887,0.687,6.044e-05
888,0.688,6.034e-05
889,0.689,6.024e-05
890,0.69,6.014e-05
891,0.691,6.003e-05
892,0.692,5.993e-05
893,0.693,5.983e-05
894,0.694,5.973e-05
895,0.695,5.964e-05
896,0.696,5.955e-05
897,0.697,5.947e-05
898,0.698,5.94e-05
899,0.699,5.932e-05
900,0.7,5.923e-05
901,0.701,5.914e-05
902,0.702,5.904e-05
903,0.703,5.895e-05
904,0.704,5.887e-05
905,0.705,5.878e-05
906,0.706,5.87e-05
907,0.707,5.862e-05
908,0.708,5.854e-05
909,0.709,5.846e-05
910,0.71,5.837e-05
911,0.711,5.829e-05
912,0.712,5.82e-05
913,0.713,5.812e-05
914,0.714,5.804e-05
915,0.715,5.796e-05
916,0.716,5.787e-05
917,0.717,5.778e-05
918,0.718,5.768e-05
919,0.719,5.759e-05
920,0.72,5.749e-05
921,0.721,5.74e-05
922,0.722,5.731e-05
923,0.723,5.722e-05
924,0.724,5.715e-05
925,0.725,5.708e-05
926,0.726,5.702e-05
927,0.727,5.696e-05
928,0.728,5.689e-05
929,0.729,5.682e-05
930,0.73,5.675e-05
931,0.731,5.667e-05
932,0.732,5.659e-05
933,0.733,5.651e-05
934,0.734,5.643e-05
935,0.735,5.635e-05
936,0.736,5.628e-05
937,0.737,5.62e-05
938,0.738,5.613e-05
939,0.739,5.605e-05
940,0.74,5.597e-05
941,0.741,5.59e-05
942,0.742,5.583e-05
943,0.743,5.577e-05
944,0.744,5.57e-05
945,0.745,5.564e-05
946,0.746,5.557e-05
947,0.747,5.55e-05
948,0.748,5.543e-05
949,0.749,5.536e-05
950,0.75,5.528e-05
951,0.751,5.52e-05
952,0.752,5.512e-05
953,0.753,5.504e-05
954,0.754,5.497e-05
955,0.755,5.489e-05
956,0.756,5.482e-05
957,0.757,5.475e-05
958,0.758,5.469e-05
959,0.759,5.463e-05
960,0.76,5.457e-05
961,0.761,5.451e-05
962,0.762,5.445e-05
963,0.763,5.439e-05
964,0.764,5.432e-05
965,0.765,5.426e-05
966,0.766,5.419e-05
967,0.767,5.412e-05
968,0.768,5.406e-05
969,0.769,5.4e-05
970,0.77,5.393e-05
971,0.771,5.388e-05
972,0.772,5.381e-05
973,0.773,5.375e-05
974,0.774,5.369e-05
975,0.775,5.363e-05
976,0.776,5.358e-05
977,0.777,5.352e-05
978,0.778,5.346e-05
979,0.779,5.34e-05
980,0.78,5.335e-05
981,0.781,5.329e-05
982,0.782,5.323e-05
983,0.783,5.317e-05
984,0.784,5.311e-05
985,0.785,5.305e-05
986,0.786,5.298e-05
987,0.787,5.292e-05
988,0.788,5.286e-05
989,0.789,5.279e-05
990,0.79,5.273e-05
991,0.791,5.267e-05
992,0.792,5.261e-05
993,0.793,5.254e-05
994,0.794,5.247e-05
995,0.795,5.24e-05
996,0.796,5.234e-05
997,0.797,5.229e-05
998,0.798,5.224e-05
999,0.799,5.219e-05
1000,0.8,5.203e-05
1001,0.799,5.185e-05
1002,0.798,5.168e-05
1003,0.797,5.153e-05
1004,0.796,5.14e-05
1005,0.795,5.129e-05
1006,0.794,5.119e-05
1007,0.793,5.108e-05
1008,0.792,5.099e-05
1009,0.791,5.09e-05
1010,0.79,5.083e-05
1011,0.789,5.075e-05
1012,0.788,5.066e-05
1013,0.787,5.055e-05
1014,0.786,5.043e-05
1015,0.785,5.031e-05
1016,0.784,5.02e-05
1017,0.783,5.011e-05
1018,0.782,5.002e-05
1019,0.781,4.993e-05
1020,0.78,4.985e-05
1021,0.779,4.978e-05
1022,0.778,4.97e-05
1023,0.777,4.963e-05
1024,0.776,4.955e-05
1025,0.775,4.947e-05
1026,0.774,4.939e-05
1027,0.773,4.931e-05
1028,0.772,4.924e-05
1029,0.771,4.917e-05
1030,0.77,4.909e-05
1031,0.769,4.902e-05
1032,0.768,4.895e-05
1033,0.767,4.887e-05
1034,0.766,4.88e-05
