Sequence,Potential_V,Current_A
384,0.184,3.505e-05
385,0.185,3.615e-05
386,0.186,3.724e-05
387,0.187,3.834e-05
388,0.188,3.944e-05
389,0.189,4.056e-05
390,0.19,4.168e-05
391,0.191,4.281e-05
392,0.192,4.396e-05
393,0.193,4.51e-05
394,0.194,4.625e-05
395,0.195,4.74e-05
396,0.196,4.856e-05
397,0.197,4.973e-05
398,0.198,5.091e-05
399,0.199,5.21e-05
400,0.2,5.329e-05
401,0.201,5.448e-05
402,0.202,5.568e-05
403,0.203,5.688e-05
404,0.204,5.81e-05
405,0.205,5.932e-05
406,0.206,6.053e-05
407,0.207,6.172e-05
408,0.208,6.29e-05
409,0.209,6.407e-05
410,0.21,6.522e-05
411,0.211,6.635e-05
412,0.212,6.745e-05
413,0.213,6.856e-05
414,0.214,6.969e-05
415,0.215,7.084e-05
416,0.216,7.2e-05
417,0.217,7.316e-05
418,0.218,7.431e-05
419,0.219,7.546e-05
420,0.22,7.66e-05
421,0.221,7.773e-05
422,0.222,7.884e-05
423,0.223,7.995e-05
424,0.224,8.106e-05
425,0.225,8.218e-05
426,0.226,8.329e-05
427,0.227,8.439e-05
428,0.228,8.548e-05
429,0.229,8.656e-05
430,0.23,8.763e-05
431,0.231,8.87e-05
432,0.232,8.976e-05
433,0.233,9.081e-05
434,0.234,9.184e-05
435,0.235,9.287e-05
436,0.236,9.389e-05
437,0.237,9.49e-05
438,0.238,9.59e-05
439,0.239,9.688e-05
440,0.24,9.784e-05
441,0.241,9.879e-05
442,0.242,9.972e-05
443,0.243,0.0001006
444,0.244,0.0001016
445,0.245,0.0001025
446,0.246,0.0001034
447,0.247,0.0001043
448,0.248,0.0001051
449,0.249,0.000106
450,0.25,0.0001068
451,0.251,0.0001076
452,0.252,0.0001084
453,0.253,0.0001092
454,0.254,0.00011
455,0.255,0.0001108
456,0.256,0.0001115
457,0.257,0.0001123
458,0.258,0.000113
459,0.259,0.0001137
460,0.26,0.0001144
461,0.261,0.000115
462,0.262,0.0001157
463,0.263,0.0001163
464,0.264,0.000117
465,0.265,0.0001176
466,0.266,0.0001182
467,0.267,0.0001187
468,0.268,0.0001193
469,0.269,0.0001198
470,0.27,0.0001203
471,0.271,0.0001208
472,0.272,0.0001213
473,0.273,0.0001218
474,0.274,0.0001222
475,0.275,0.0001227
476,0.276,0.0001231
477,0.277,0.0001235
478,0.278,0.0001239
479,0.279,0.0001243
480,0.28,0.0001246
481,0.281,0.0001249
482,0.282,0.0001253
483,0.283,0.0001256
484,0.284,0.0001259
485,0.285,0.0001262
486,0.286,0.0001264
487,0.287,0.0001267
488,0.288,0.0001269
489,0.289,0.0001271
490,0.29,0.0001273
491,0.291,0.0001275
492,0.292,0.0001277
493,0.293,0.0001278
494,0.294,0.0001279
495,0.295,0.0001281
496,0.296,0.0001282
497,0.297,0.0001283
498,0.298,0.0001284
499,0.299,0.0001285
500,0.3,0.0001286
501,0.301,0.0001286
502,0.302,0.0001286
503,0.303,0.0001287
504,0.304,0.0001287
505,0.305,0.0001286
506,0.306,0.0001286
507,0.307,0.0001286
508,0.308,0.0001285
509,0.309,0.0001285
510,0.31,0.0001284
511,0.311,0.0001283
512,0.312,0.0001283
513,0.313,0.0001282
514,0.314,0.0001281
515,0.315,0.0001279
516,0.316,0.0001278
517,0.317,0.0001277
518,0.318,0.0001276
519,0.319,0.0001274
520,0.32,0.0001273
521,0.321,0.0001271
522,0.322,0.0001269
523,0.323,0.0001268
524,0.324,0.0001266
525,0.325,0.0001264
526,0.326,0.0001262
527,0.327,0.000126
528,0.328,0.0001257
529,0.329,0.0001255
530,0.33,0.0001253
531,0.331,0.0001251
532,0.332,0.0001248
533,0.333,0.0001246
534,0.334,0.0001244
535,0.335,0.0001241
536,0.336,0.0001238
537,0.337,0.0001236
538,0.338,0.0001233
539,0.339,0.000123
540,0.34,0.0001228
541,0.341,0.0001225
542,0.342,0.0001222
543,0.343,0.0001219
544,0.344,0.0001216
545,0.345,0.0001213
546,0.346,0.000121
547,0.347,0.0001207
548,0.348,0.0001204
549,0.349,0.0001201
550,0.35,0.0001198
551,0.351,0.0001195
552,0.352,0.0001192
553,0.353,0.0001189
554,0.354,0.0001186
555,0.355,0.0001183
556,0.356,0.0001179
557,0.357,0.0001176
558,0.358,0.0001173
559,0.359,0.000117
560,0.36,0.0001167
561,0.361,0.0001163
562,0.362,0.000116
563,0.363,0.0001157
564,0.364,0.0001153
565,0.365,0.000115
566,0.366,0.0001147
567,0.367,0.0001144
568,0.368,0.000114
569,0.369,0.0001137
570,0.37,0.0001134
571,0.371,0.000113
572,0.372,0.0001127
573,0.373,0.0001124
574,0.374,0.0001121
575,0.375,0.0001117
576,0.376,0.0001114
577,0.377,0.000111
578,0.378,0.0001107
579,0.379,0.0001104
580,0.38,0.0001101
581,0.381,0.0001098
582,0.382,0.0001094
583,0.383,0.0001091
584,0.384,0.0001088
585,0.385,0.0001084
586,0.386,0.0001081
587,0.387,0.0001078
588,0.388,0.0001075
589,0.389,0.0001072
590,0.39,0.0001068
591,0.391,0.0001065
592,0.392,0.0001062
593,0.393,0.0001059
594,0.394,0.0001055
595,0.395,0.0001052
596,0.396,0.0001049
597,0.397,0.0001046
598,0.398,0.0001043
599,0.399,0.000104
600,0.4,0.0001037
601,0.401,0.0001033
602,0.402,0.000103
603,0.403,0.0001027
604,0.404,0.0001024
605,0.405,0.0001021
606,0.406,0.0001018
607,0.407,0.0001015
608,0.408,0.0001012
609,0.409,0.0001009
610,0.41,0.0001005
611,0.411,0.0001003
612,0.412,9.998e-05
613,0.413,9.97e-05
614,0.414,9.94e-05
615,0.415,9.911e-05
616,0.416,9.882e-05
617,0.417,9.854e-05
618,0.418,9.827e-05
619,0.419,9.799e-05
620,0.42,9.771e-05
621,0.421,9.743e-05
622,0.422,9.714e-05
623,0.423,9.684e-05
624,0.424,9.654e-05
625,0.425,9.625e-05
626,0.426,9.598e-05
627,0.427,9.572e-05
628,0.428,9.545e-05
629,0.429,9.519e-05
630,0.43,9.492e-05
631,0.431,9.464e-05
632,0.432,9.437e-05
633,0.433,9.409e-05
634,0.434,9.382e-05
635,0.435,9.356e-05
636,0.436,9.33e-05
637,0.437,9.304e-05
638,0.438,9.278e-05
639,0.439,9.252e-05
640,0.44,9.226e-05
641,0.441,9.199e-05
642,0.442,9.172e-05
643,0.443,9.146e-05
644,0.444,9.121e-05
645,0.445,9.098e-05
646,0.446,9.074e-05
647,0.447,9.05e-05
648,0.448,9.025e-05
649,0.449,9.001e-05
650,0.45,8.976e-05
651,0.451,8.952e-05
652,0.452,8.927e-05
653,0.453,8.902e-05
654,0.454,8.878e-05
655,0.455,8.855e-05
656,0.456,8.833e-05
657,0.457,8.81e-05
658,0.458,8.786e-05
659,0.459,8.763e-05
660,0.46,8.739e-05
661,0.461,8.716e-05
662,0.462,8.692e-05
663,0.463,8.668e-05
664,0.464,8.645e-05
665,0.465,8.624e-05
666,0.466,8.604e-05
667,0.467,8.583e-05
668,0.468,8.561e-05
669,0.469,8.539e-05
670,0.47,8.518e-05
671,0.471,8.496e-05
672,0.472,8.475e-05
673,0.473,8.454e-05
674,0.474,8.432e-05
675,0.475,8.41e-05
676,0.476,8.39e-05
677,0.477,8.37e-05
678,0.478,8.35e-05
679,0.479,8.33e-05
680,0.48,8.31e-05
681,0.481,8.289e-05
682,0.482,8.269e-05
683,0.483,8.25e-05
684,0.484,8.229e-05
685,0.485,8.208e-05
686,0.486,8.187e-05
687,0.487,8.166e-05
688,0.488,8.147e-05
689,0.489,8.128e-05
690,0.49,8.11e-05
691,0.491,8.092e-05
692,0.492,8.073e-05
693,0.493,8.053e-05
694,0.494,8.034e-05
695,0.495,8.015e-05
696,0.496,7.998e-05
697,0.497,7.98e-05
698,0.498,7.963e-05
699,0.499,7.945e-05
700,0.5,7.928e-05
701,0.501,7.911e-05
702,0.502,7.895e-05
703,0.503,7.879e-05
704,0.504,7.862e-05
705,0.505,7.844e-05
706,0.506,7.826e-05
707,0.507,7.808e-05
708,0.508,7.79e-05
709,0.509,7.773e-05
710,0.51,7.754e-05
711,0.511,7.735e-05
712,0.512,7.715e-05
713,0.513,7.696e-05
714,0.514,7.678e-05
715,0.515,7.662e-05
716,0.516,7.647e-05
717,0.517,7.633e-05
718,0.518,7.617e-05
719,0.519,7.601e-05
720,0.52,7.584e-05
721,0.521,7.566e-05
722,0.522,7.549e-05
723,0.523,7.533e-05
724,0.524,7.517e-05
725,0.525,7.5e-05
726,0.526,7.483e-05
727,0.527,7.466e-05
728,0.528,7.448e-05
729,0.529,7.431e-05
730,0.53,7.416e-05
731,0.531,7.401e-05
732,0.532,7.387e-05
